,recommend,review
101,0,buyer beware could flush money right toilet 
102,1,definitely bargain 
103,1,price good free shipping good purchase 
104,0,received supposedly new motorola 375 apparently not match phone charger 
105,1,pros -good camera nice pictures also cool styles like black white 
106,0,huge design flaw unless 'm not using correctly not think case 
107,1,love 350 headset .. jabra350 bluetooth headset great reception good ear piece comfortable fit 
108,0,camera although rated impressive 1.3 megapixels renders images fall well expectations relatively high resolution 
109,0,purcashed car charger not work 
110,1,sound quality end excellent use headset call wife ask wife use headset call 2 
111,1,phone slim light display beautiful 
112,1,little geeky but think thats sex toast rocks oozes sex right battery embedded sleek stylish leather case 
113,1,great product fast shipping 
114,1,absolutely great 
115,1,keyboard nice compromise full qwerty basic cell phone number keypad 
116,0,got phone around end may 'm completely unhappy 
117,1,comfortable ear 
118,1,winner us 
119,1,setup could not simpler 
120,1,'ve tried several different earpieces cell phone jabra one first one 've found fits ear comfortably 
121,0,could not get strong enough signal 
122,1,iam pleased purchase 
123,0,bad quality 
124,1,gets job done 
125,1,great audio 
126,0,basically service bad 
127,0,not work cell phone plug set charger 
128,1,'ve bluetooth weeks but really like 
129,0,bt headset disapoinment 
130,1,small not even realize getting used 
131,1,accompanied software almost brilliant 
132,1,headset works great packaged nicely avoid damage 
133,1,definitly recommend 
134,0,buyer -- careful 
135,0,majority logitech earbud headsets failed 
136,1,good stuff price 
137,1,headset works peachy-keen 
138,0,house getting dropped coverage upstairs coverage basement 
139,1,voice recognition tremendous 
140,0,waste 
141,0,several different 2 minute calls experienced 5 drops area 5 bars 
142,0,not happy item 
143,0,disappointed 
144,0,phone takes forever charge like 2 5 hours literally 
145,1,got phone reccomendation relative 'm glad 
146,0,waste time 
147,0,reception poor 
148,0,items stated included description not included 
149,0,3 months screen went black sudden 
150,0,hoping 
151,0,audio quality poor poor 
152,1,absolutely problem headset linking 8530 blackberry curve 
153,1,know sounds funny but seemed like sketchy technology would not work well.well one works great 
154,0,'ve bought 5 wired headphones sound better 
155,1,phone fast sending kind messages web browsing significantly faster previous phones used 
156,1,nice quality build unlike cheap 
157,1,item fantastic works perfectly 
158,1,love colors 
159,1,w810i superb 
160,0,whine internet goes.the use thing less like 
161,1,great charger 
162,0,essentially communications tool not communicate 
163,1,works like charm work one got phone 
164,0,still maintain monkeys not make headphones obviously not share enough dna copy design humans 
165,1,great value 
166,0,not work .. bougth l7c not working 
167,1,look sharp screen nice clear great graphics 
168,0,not last long 
169,0,one thing hate mode set button side 
170,1,excellent service 
171,0,thank wasting money 
172,0,audio quality poor 
173,1,igo chargers tips really great 
174,1,file browser offers options one needs.handsfree great 
175,1,superb phone great network 
176,1,connected wife bluetooth motorola hs850 phone worked like charm whether phone pocket case 
177,0,put latest os v1.15g likes slow crawl lock every 
178,0,recognizes phone storage device 
179,0,like loud buzzing override conversations phone 
180,0,not buy product 
181,0,'ve bluetoooth headset time still not comfortable way fits ear 
182,1,sound quality good functionality awesome 
183,0,phone thorn side really abhor 
184,0,recently problems could not stay connected 10 minutes disconnected 
185,1,incredible 
186,0,design flaw 
187,1,great phone 
188,0,waste 13 bucks 
189,0,but check voice mail night keypad backlight turns seconds first message 'm lost 
190,0,replacement died weeks 
191,1,ring tone .. overall good phone buy .. 
192,1,lately extremely nice helpful phone 
193,0,problems wit hit dropping signal 
194,0,not impressed 
195,1,light weight hardly notice 
196,1,love thin 
197,0,bad choice 
198,0,pleather case not fit 
199,0,useless phone simply deaf 
200,1,color even prettier thought would graphics incredibly sharp 
201,1,think good investment 
202,0,makes strange ticking noises ends call 
203,1,best electronics available fm transmitters 
204,0,battery lasts hours 
205,1,great headset impressed h500 
206,1,1.2 mega pixel camera part phone reasonably good7 
207,1,'ve nearly 2 years worked great 
208,1,good transmit audio 
209,0,sending back 
210,0,not bother contacting company dollar product but learned lesson not bought form online anyway 
211,0,hate earbugs avoid phone means 
212,1,great price also 
213,1,range decent 've able roam around house phone living room reception/sound quality issues 
214,1,fast service 
215,1,would highly recommend 
216,1,would recommend 
217,0,also not like button felt like would crack use 
218,0,worst phone ever 
219,1,'m still infatuated phone 
220,0,freezes frequently4 
221,0,kind embarrassing use looks mostly embarrassing child-like company 
222,1,simple lightweight great fit 
223,0,'d expected better consumer experience motorola 
224,0,horrible tick sound background calls never experienced 
225,1,certainly comfortable functionality decent 
226,1,usually not like headbands but one lightweight not mess hair 
227,0,'m bit disappointed 
228,0,phone year tell not great 
229,0,ordered sony ericsson w810i but think worked thats first used 
230,0,battery completely useless 
231,0,big waste time 
232,0,not waste one 
233,1,great sound service 
234,1,really pleased product far 
235,1,one favorite purchases ever 
236,1,best bluetooth market 
237,1,authentic leather nice shine comfort .i recommend case 
238,1,excited get headset thought really cute 
239,0,not make mistake 
240,0,big disappointment calendar sync 
241,0,phone unusable not new 
242,0,worst customer service ever 
243,0,additional ear gels provided instructions whatsoever 
244,0,defeats purpose bluetooth headset 
245,1,worth every penny 
246,1,excellent wallet type phone case 
247,1,nice headphones price work great 
248,0,internet excrutiatingly slow 
249,1,comfortable wear well probably important aspect using case 
250,1,fits like glove strong secure durable 
251,1,gosh best phone ever 
252,1,attractive appears good quality 
253,1,love features form factor 
254,0,product strong rubber/petroleum smell unbearable caused return 
255,0,poor quality service 
256,0,cable looks thin flimsy scary 
257,1,great earpiece 
258,1,excellent hands free tool 
259,1,great using home stereo 
260,1,good product incredible value 
261,1,month but worked flawlessly far 
262,1,works great 
263,0,absolutel junk 
264,0,one not work either 
265,1,battery life real good 
266,0,returned 8 hours later 
267,1,great item 
268,0,not waste money 
269,1,love headset 
270,0,not drain player but may also potentially fry 
271,1,worked perfectly 
272,0,unreliable 'm giving 
273,1,gave 5 stars sound quality 
274,0,avoid one 
275,1,reversible plug works great 
276,0,wasted little money earpiece 
277,1,good phone 
278,1,best rotating feature helpful 
279,1,comfort whole family 
280,1,good product good seller 
281,1,love bluetooth 
282,0,first not wear well 
283,1,impressed headset plantronics 
284,1,got small adorable 
285,1,great phone 
286,0,would not recommend buying product 
287,0,piece junk 
288,0,poorly contstruct hinge 
289,1,item great installed let charged overnite working good every since problems 
290,1,great phone 
291,0,not buy 
292,1,excellent phone 
293,0,not purchase phone 
294,1,voice recognition thru handset excellent 
295,1,hands best phone 've ever 
296,1,works great cat attacked phone scratched protective strip instead destroying screen 
297,1,one works priced right 
298,0,customer service terrible 
299,0,battery life still not long enough motorola razor v3i 
300,0,sending back 
301,1,know made wise decision 
302,1,someone shouldve invented sooner 
303,1,good price 
304,1,everything worked first try.the device certainly engineered clever way construction feels good 
305,1,received quickly works great 
306,1,working great 
307,0,many people complained found headset microphone weak 
308,0,5-year old nokia 2160 tracfone holds charge lot better 
309,0,not care consumer one bit 
310,1,good battery got really fast 
311,0,instruction manual lacking 
312,1,also slim enough fit alarm clock docking station without removing case 
313,1,phone holds charge like new 
314,0,battery unreliable well service use antena 
315,0,uncomfortable sound quality quite poor compared phone razr previous wired headset plugged lg 
316,1,gotten lot compliments 
317,1,definitely must state not allow cell phone usage driving 
318,0,want money back 
319,1,love device 
320,1,also happy price 
321,0,ordered product first unhappy immediately 
322,0,ngage still lacking earbuds 
323,1,able voice dialing car problem 
324,0,2-3 bars cell phone home but cant not hear anything 
325,1,good item low price 
326,0,however-the riingtones not best neither games 
327,0,plug not work well 
328,0,amazon sucks 
329,0,rip -- -- charge shipping 
330,1,comfortable 
331,1,battery working well replacement original came phone 2 years ago 
332,1,reception excellent 
333,1,fits comfortably either ear sound clear loud charge lasts couple days 
334,1,clear quality sound not mess sound ipod since sound buttons headset 
335,0,1. long lasting battery not recharge frequentyly flip phones 2 
336,0,obviously problem adhesive 
337,0,disappointing 
338,0,inexpensive piece but would still expected better quality 
339,0,practically useless not add kind boost reception bought 
340,1,excellent sound quality 
341,0,not happy 
342,0,piece junk broke phone 2 days 
343,1,new battery works great phone 
344,0,worst customer service 
345,1,'ve dropped phone times say even concrete phone still great knock wood 
346,0,reception terrible full static 
347,1,good audio quality 
348,1,little device transformed organizational capability made life whole lot easier 
349,0,sitting vehicle cradle belt headset lost signal 
350,0,jerks phone 
351,1,works like charm .. works advertised 
352,1,comfortable nice range good battery life 
353,0,network coverage los angeles horrible 
354,0,excellent starter wireless headset 
355,0,loudspeaker option great bumpers lights appealing 
356,0,thing think could improve sound leaks headset 
357,0,first reception sucks never 2 bars ever 
358,0,phone gets extremely hot 
359,1,microphone also works well but according people called applifies everything 
360,1,nice design quality 
361,0,also phone dropped case not going save specially dropped face 
362,1,light easy use clear reception transmission 
363,0,bad fit way big 
364,1,definitely not good s11 
365,1,awesome device 
366,0,waste money 
367,1,ordered motorola data cable got well finished working product 
368,1,love phone 
369,1,looking headset long time 've got could not happier 
370,0,drivng along headset starts ringing reason 
371,1,display excellent camera good year 
372,1,battery life also great 
373,0,worst phone 've ever months 
374,0,not good item .. worked started problems auto reverse tape player 
375,0,embarassing also ears hurt try push ear plug ear 
376,1,protects phone sides 
377,0,average phone bad battery life operates weak network 
378,1,clear skype calls long battery life long range 
379,0,soyo technology sucks 
380,1,great hands free device 
381,1,even take self portraits outside exterior display cool 
382,0,problem others mentioned 
383,1,trying many many handsfree gadgets one finally works well 
384,1,magical help 
385,0,worst piece crap ever along verizon customer service 
386,0,poor sound quality 
387,1,best phone market 
388,1,worked well 
389,1,company shipped product promptly works well 
390,1,exactly wanted 
391,0,picture resolution far comparably-priced phones offering today 
392,1,great deal 
393,1,excellent product satisfied purchase 
394,1,highly recommend encourage people give try 
395,1,better 'd expect 
396,0,using earpieces left right thing not stay ear 
397,1,great product price 
398,1,sounds good reasonably priced effective simple 
399,0,still waiting ...... 'm sure item would work well .. ever recieve 
400,0,disappointment 
401,1,prompt service 
402,1,excellent product price 
403,1,pleased headset 
404,0,not waste money time 
405,1,especially love long battery life 
406,0,stupid keep buying new chargers car chargers cradles headphones car kits every time new phone comes 
407,1,works great 
408,1,plantronics bluetooth excelent buy 
409,0,came verizon cingulair nicer cell phones first thing noticed really bad service 
410,0,looking new earpiece 
411,1,highly recommend device everyone 
412,1,jawbone era awesome 
413,0,received white colored battery goes dead couple hoursthe original used last week but still lasts longer thereplacement 
414,0,year battery went completely dead headset 
415,1,used several phone two years but one best 
416,1,awesome new look fall 2000 
417,0,first phone 've cheaply made 
418,0,att not clear sound distorted yell talk 
419,0,plastic breaks really easy clip 
420,1,price good 
421,0,not make mistake 
422,0,oh forgot also mention weird color effect phone 
423,1,'m using iriver spinn case fits fine 
424,0,also area unit broke .- 'm not fond magnetic strap 
425,1,overall psyched phone appointments contacts gets great reception 
426,1,every thing phone work perfectly like 
427,0,another note phone appearance really looks rather bland especially black model 
428,1,really easy 
429,1,sanyo survived dozens drops blacktop without ill effect 
430,1,fantastic earphones 
431,1,finds cell phone right away enter car 
432,0,low quality 
433,1,highly recommend modest priced cellular phone 
434,1,but get better reception clarity phone 've 
435,0,warning stay away 
436,0,wish could return unit get back money 
437,1,awsome device works great 
438,0,used talk 1 1 1/2 hours battery would literally drained dying 
439,0,not find bad unit comes one earpad only.i would not recommend anyone 
440,0,displeased 
441,0,might gotten defect but would not risk buying built quality alone 
442,0,made case small difficult install 
443,1,restored phone like new performance 
444,1,would recommend purchasing jabra jx-10 series 2 works flawlessly moto q go figure 
445,1,searched internet found one best value 
446,0,not fit 
447,1,happy product 
448,1,screen size big key pad lit well enough camera quality excellent camera phone 
449,0,really nothing bad say headset 
450,1,'m glad found product amazon hard find not high priced 
451,1,portable works 
452,1,colleague get great reception.a little expensive but performance great 
453,0,even fully charged went bed turned blue tooth wi-fi noticed 20 left morning 
454,0,'ve also problems phone reading memory card always turn 
455,0,not good wearing hat sunglasses 
456,1,timely shipment quality product 
457,1,nice solid keyboard 
458,1,well made fits surefire gx2 perfectly 
459,0,horrible phone 
460,0,bt50 battery junk 
461,1,would recommend others 
462,0,cant get software work computer 
463,0,disappointed 
464,0,poor voice clarity 
465,1,battery works great 
466,0,buyers remorse one 
467,0,disappointed accessoryone 
468,0,find inexcusable probably returning phone perhaps changing carriers 
469,1,looks great strong 
470,1,tmobile service 2 3 years pretty happy 
471,0,update procedure difficult cumbersome 
472,0,disappointment .. hate anything goes ear 
473,1,great software motorolas 
474,1,delivery time 
475,1,easy use 
476,0,uncomfortable ear not use lg vx9900 env 
477,0,volume switch rocketed unit destination unknown 
478,1,holds charge long time reasonably comfortable long-wearing conditions quality sound tremendous 
479,0,'d like return 
480,1,keyboard really worthwhile usefulness sturdy enough not expect problems 
481,0,verizon bills however difficult understand even though pricing plans simple 
482,1,charging overnight batteries work great 
483,1,not regret 
484,1,love phone 
485,0,disappointment 
486,0,not user friendly 
487,0,unfortunately ability actually know receiving call rather important feature phone pitiful respect 
488,0,exchanged phone even problem 
489,0,results phone either stuck max volume mute 
490,1,pda rocks 
491,1,super charged use small hybrid palmtop/camera/cellphone excels roles 
492,1,would definitely recommend jabra bt250v looking comfort clarity great price 
493,1,verizon 2 years ago really liked service 
494,0,pretty piece junk 
495,0,plug wrong size 
496,1,works described 
497,0,save money 've item 11 months 
498,0,bad purchase 
499,1,well im satisfied 
500,1,bose noise cancelling amazing important nyc commuter 
501,1,battery excellent bargain 
502,0,defective crap 
503,0,would given star able 
504,1,wear glasses fits fine 
505,0,sound quality device unacceptable.unless really quiet area almost hear nothing 
506,0,would not recommend item anyone 
507,0,holster arrived not match photo ad 
508,1,great problems 
509,0,earlier review noted plug charger nothing happens 
510,1,frog phone charm adorable eye catching 
511,0,never know pushed hard enough right number times function want not 
512,1,sound clear people talk amazed quality 
513,1,got aluminum case new palm vx worked really well -- protected handheld perfectly far 
514,1,good product well made 
515,1,mobile phone tools must 
516,1,impressed job motorola sturdiness phone 
517,1,received orders well within shipping timeframe everything good working order overall excited source 
518,1,phone sturdy waterproof 
519,0,not impressed would not recommend item anyone 
520,0,complaint standard sound volume little low even turned 5 5 
521,1,thanks amazon things need good price 
522,1,ended sliding edge pants back pockets instead 
523,1,go store bought new nokia phone working great 
524,1,works great 
525,0,really ugly 
526,0,horrible switch 3 times 
527,1,noise shield incrediable 
528,0,real improvement 
529,1,razr battery good buy 
530,1,keep good work amazon 
531,0,refuse refund replace 
532,0,unfortunately easy accidentally activate gentle-touch buttons accidentally touch phone face listening 
533,0,basically threw money window nothing 
534,1,great case price 
535,0,took one drop 6 inches kitchen counter cracked.i not impressed not laughing 
536,1,bluetooth range good days ago left phone trunk got call carried conversation without hitch 
537,1,small sleek impressive looking practical setup ample storage place 
538,1,eargels channel sound directly ear seem increase sound volume clarity 
539,0,none new ones ever quite worked properly 
540,1,glad purchased 
541,0,'ve missed numerous calls reason 
542,0,perhaps phone defective but people not hear use 
543,0,not buy product 
544,0,sucked stuff not work phone 
545,1,shifting bubbling peeling not even scratch nothing could not happier new one droid 
546,0,worst software ever used could give zero stars would 
547,0,trying make call exercise frustration 
548,0,case flimsy piece plastic front side protection whatsoever 
549,1,jabra earset happy but sound quality especially outgoing better 
550,1,love camera really pretty good quality 
551,1,thank great service 
552,1,total package 
553,1,seller understanding patient would definitely buy 
554,0,give wirefly 1 star.i contact cingular/at inform practice 
555,0,aggravating 
556,1,great product price 
557,1,purchased family friends enjoy clarity ease use 
558,1,virgin wireless rocks cheap little phone 
559,0,none works not buy 
560,0,muddy low quality sound casing around wire insert poorly super glued slid 
561,0,please dont waste money 
562,1,'m quite satisfied purchase 
563,0,looking good quality motorola headset keep looking not 
564,0,yet plantronincs continues use flawed charger design 
565,0,disapointing results 
566,0,cumbersome design 
567,1,great new packaged nice works good problems came less time expected 
568,1,great product 
569,0,piece crap 
570,0,experience terrible fourth bluetooth headset much comfortable last jabra hated 
571,1,fixes problems 
572,0,worst ever 
573,1,happy 
574,1,'ve trouble accessing internet downloading ringtones performing functions 
575,0,barely ever hear constantly saying 
576,0,battery life highly unacceptable 
577,0,company joke 
578,1,everything description said would 
579,0,due happening every call forced stop using headset 
580,1,works great car charger especially not plug two adapters time 
581,0,verizon tech support walked procedures none worked ended hard re-set wiping data 
582,0,voice quality signal strength dropped calls 
583,1,plays louder speaker size price low would think quality lacking however not 
584,1,better expected 
585,0,feels poorly constructed menus difficult navigate buttons recessed difficult push 
586,1,battery holding well 
587,0,also difficult put on.i 'd recommend avoiding product 
588,0,used two days not always easy hear 
589,0,got car charger not even week charger broken went plug started smoking 
590,0,sprint terrible customer service 
591,1,linked phone without effort 
592,1,cool 
593,1,easy use 
594,1,better new 
595,0,possesed get junk idea 
596,0,piece trash 
597,1,pretty good product 
598,1,great phone 
599,1,price amazon excellent product would highly recommend 
600,1,research development division obviously knows 
601,0,real killer volume course breaking 
602,1,phones working fine 
603,1,happy product 
604,0,poor construction 
605,0,infuriating 
606,1,overall would recommend phone new walkman 
607,0,sprint charges service 
608,0,cheap feel look cheap 
609,1,fits ear well comfortable 
610,0,not work europe asia 
611,1,clipping belt deffinitely make feel like 50 cent up-and-coming 
612,1,like design look jabra behing ear headsets 5020 pretty comfortible wear 24 hours day without pain ear 
613,1,amazed quick arrival two original lg cell phone batteries fraction price 
614,0,worst phone samsung crap crappy samsung e715 .. worst ever seeen 
615,0,charger worked week completely stopped charging phone 
616,0,poor product 
617,0,however needed better instructions 
618,0,need two hands operate screen.this software interface decade old not compete new software designs 
619,1,worked well paired treo 700w skype headset pc using usb bluetooth transceiver 
620,0,steer clear product go genuine palm replacementr pens come three-pack 
621,0,not buy not buyit sucks 
622,1,great product sure beats using fingers 
623,0,plus seriously not believe worth steep price point 
624,1,cases 've tried normally fall apart months but one seems long haul 
625,0,dissapointing performance 
626,0,not make mistake please not buy phone 
627,0,phone might well worst 've ever brand 
628,0,case less extra originally put but later discarded scratched ear 
629,1,recommend igo anyone different brand cell phones/mp3 players family 
630,0,not bother go store 
631,1,posted detailed comments grey black phone but fire red great color 
632,1,not problem item would order needed 
633,0,get pay guess 
634,1,not software great job could also make ringtones form existing cds without internet connection 
635,1,im surprised good quality car charger not much reviews 
636,1,fabulous 
637,0,however bt headsets currently not good real time games like first-person shooters since audio delay messes 
638,1,used bitpim free program find internet transfer data phone.the price cable excellent 
639,0,disappointing accessory good manufacturer 
640,0,performed awful -- muffled tinny incoming sound severe echo end call 
641,1,wind-resistant 
642,0,obviously terrible customer service get pay 
643,1,not last forever but not overly expensive replace.easy operate sound much better others tried 
644,0,contacted company told although unit still warranty could not produce receipt luck 
645,0,linksys way exchange bad phone refurb unit something 
646,1,phone sturdy nokia bar phones 
647,1,great phone 
648,0,placed treo case not not snug but lot extra room sides 
649,1,'m pleased 
650,0,battery terrible 
651,1,found product easy set use 
652,0,earpiece large heavy keeps falling ear 
653,0,utter crap .. sound quality terrible 
654,0,charger arrived within promised timeframe but not work 
655,1,ear loop needed tiny sound great 
656,0,finally three four times spring latch broke could not use longer visor 
657,1,handsfree part works fine but car tries download address book treo reboots.overall still rate device high 
658,0,talk useless customer service 
659,0,felt light tinny 
660,0,not fit palm tungsten e2 broke first time tried plug 
661,1,'m happy purchase- good quality low price 
662,1,love look feel samsung flipphones 
663,1,well-designed sharp -- blue nice color 
664,1,everything 
665,0,could not recommend 
666,1,nice sound 
667,0,looks good picture but case huge disappointment 
668,1,much less jawbone going replace 
669,1,setup went smoothly 
670,0,extremely slow takes forever anything 
671,0,must study anyone interested worst sins industrial design 
672,0,first thing happened tracking 
673,1,well made easy access phone handy detachable belt clip 
674,0,continue pairing periodically since somehow kept dropping 
675,0,not upload ringtones third party 
676,0,bluetooth not work phone locks screens flash makes calls randomly pocket locked 
677,0,truly awful 
678,1,works fine motorola 325 cellphone lot better worn-out battery 
679,1,volume ringer real good choices loud 
680,0,none tones acceptable 
681,0,camera color balance awful 
682,0,product clearly not ready prime time not care cool looks not tell call coming worthless 
683,1,love ringtones upbeat 
684,0,chinese forgeries abound 
685,1,easy pair samsung cell 
686,0,instructions not explain microphone jack could used 
687,0,would advise not purchase item never worked well 
688,0,bad pay month service 
689,1,works well 
690,0,nokia ca-42 usb cable not work phone 
691,1,clear crisp sound 
692,1,use smallest earpieces provided but stays pretty well 
693,0,biggest complaint battery drains superfast 
694,0,design might ergonomic theory but could not stand ear 
695,0,not buy want use holster 
696,1,phone also take great pictures even video clips 
697,0,not make look cool 
698,1,ears occupied background not distracting 
699,1,comfortable fit need headset comfortable least hour time not entire day 
700,0,also phone not seem accept anything except cbr mp3s preferably ripped windows media player 
701,1,not beat price 
702,1,comes strong light use light camera shots even flash sos signals seriously 
703,1,lightweight works well 
704,0,beware 
705,1,love cable allows connect mini-usb device pc 
706,0,anyone near hear part conversation 
707,1,cool cases open allowing screen get scratched 
708,0,bought phone replacement startac regretted since 
709,1,appears actually outperform original battery china came v325i 
710,0,not store anything but phone numbers sim 
711,0,lasts less 3o minutes actually try use phone.my wife phone problem 
712,0,poor quality 
713,1,jabra ear gels r best 
714,0,not worth 
715,0,phone crashed completely get replaced 
716,1,quit working 'd used 18 months purchased another one best headset 've ever owned 
717,0,unfortunately not recharge iphone 4s despite connecting multiple power sources imac external battery wall outlet etc 
718,1,great phone 
719,0,simply want small flip phone -- look elsewhere extra bells whistles mediocre 
720,1,good value works fine power via usb car wall outlet 
721,1,phone not slide around car grip prevents phone slipping hand 
722,1,simply best bluetooth headset sound quality 
723,0,think plan one sure last moto phone 
724,1,span hour two people exclaim whoa new phone tv 
725,1,always used corded headsets freedom wireless helpful 
726,1,case passed one year mark shows signs wear 100 functional 
727,1,leather nice soft fit tight cut face good shape 
728,1,everything need could not ask 
729,0,receiving using product 2 days broke 
730,1,product great makes working lot easier go copier waiting hold something 
731,0,none three sizes sent headset would stay ears 
732,1,t-mobile best customer service anywhere 
733,1,arrived quickly much less expensive others sold 
734,0,tried 2 units failed within 2 months .. pros 
735,1,provides good protection looks classy 
736,1,krussel always good 
737,1,tracfonewebsite user friendly makes easy toactivate etc 
738,1,design good.4 
739,1,great reception time 
740,1,would highly recommend product 
741,0,could not use unit sunglasses not good texas 
742,0,dit not work time nokia 5320 
743,0,bought mainly charger broke soon purchasing 
744,0,like loud buzzing override conversations phone 
745,1,fantastic buy get whatever next phone 
746,0,stay away store careful 
747,1,blueant supertooth hands-free phone speaker awesome 
748,0,not fit 
749,1,item arrived quickly works great metro pcs samsung sch-r450 slider phone sony premium sound ear plugs 
750,1,light plenty battery capacity confortable wear somewhat extended periods time 
751,0,disappointing 
752,1,blue ant easy use 
753,1,cheap but hey works .. pleasantly suprised given low cost item 
754,0,camera phone may used dustpan indoors 'd rather using disposable 
755,0,days later puff smoke came phone use 
756,1,convenient simple use gets job done makes car ride much smoother 
757,0,nano stated it.my son dissapointed 
758,1,sound quality excellent well 
759,1,best headset used 
760,0,would not reccommend 
761,1,around years carries highest quality anti-glare screen protector found date 
762,1,wanted 
763,0,particular model would not work motorola q smartphone 
764,0,wont work right atleast 
765,0,addition feels amp looks phone lightweight cheap plastic 
766,0,but warranty problems reoccure.bottom line put money somewhere else cingular not support 
767,0,really wanted plantronics 510 right one but many issues me.the good 
768,1,great product 
769,1,crisp clear 
770,0,first charge kept going dead 12 minutes 
771,0,cheap plastic creaks like old wooden floor 
772,0,get absolutely horrible reception apartment phones not problem 
773,1,reception generally good 
774,1,excellent sound battery life inconspicuous boot 
775,1,great bluetooth 
776,1,highly recommend case 
777,1,worthwhile 
778,1,great deal 
779,0,phone got year old slowly breaking despite much care part 
780,0,sorry made purchase 
781,0,bought hoping could make bluetooth headset fit better but things made impossible wear 
782,0,treo t-mobile refused replace forced buy another phone without kind upgrade discount 
783,0,horrible 
784,0,not think would hold securly belt 
785,0,allows possibility double booking date time first 
786,0,work 2 weeks break 
787,1,simple use like 
788,1,great tool entertainment communication data management.oh sure use activesync 4.2 optimal data synchronization results 
789,0,not use case smell disgusting 
790,0,not wanted 
791,1,2 cases would order another 
792,1,great phone 
793,1,bought battery coupon amazon 'm happy purchase 
794,0,internet access fine rare instance worked 
795,1,perfect ps3 
796,1,five star plus plus 
797,1,good quality bargain .. bought bought cheapy big lots sounded awful people end could not hear 
798,0,50 drain 
799,0,tried talking real loud but shouting telephone gets old still told not great 
800,1,good works fine 
801,1,price great deal 
802,1,great price 
803,0,wind completely useless 
804,1,yes shiny front side love 
805,0,not work 
806,0,first thought grtting good deal 7.44 plugged phone v3c razr 
807,1,reception headset excellent 
808,1,2 thumbs seller 
809,1,verizon lg phone work well together good reception range exceeds 20 feet line sight 
810,0,improper description return 
811,1,1 works 2 comfortable 
812,1,battery charge-life quite long 
813,1,jabra eargels fit ears well 
814,0,battery life 
815,0,checked everywhere feature really disappointing 
